"YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY"
200901,"스포츠,이온음료",12,622,1508,4,126753,151,12
200902,"스포츠,이온음료",12,660,1533,9,113399,3014,8
200903,"스포츠,이온음료",12,794,1554,12,129162,1383,9
200904,"스포츠,이온음료",12,1119,1529,19,126277,3564,8
200905,"스포츠,이온음료",12,1524,1529,25,129584,9288,12
200906,"스포츠,이온음료",13,1480,1488,27,123218,9998,8
200907,"스포츠,이온음료",15,1509,1490,28,131083,17405,8
200908,"스포츠,이온음료",15,1876,1490,29,130040,7704,10
200909,"스포츠,이온음료",15,1534,1490,27,131989,4096,8
200910,"스포츠,이온음료",15,1218,1490,22,136095,2824,10
200911,"스포츠,이온음료",15,738,1490,12,136152,3684,9
200912,"스포츠,이온음료",15,686,1490,5,137391,216,9
201001,"스포츠,이온음료",13,676,1488,2,141145,792,11
201002,"스포츠,이온음료",13,748,1519,7,128528,4384,9
201003,"스포츠,이온음료",15,986,1490,10,145771,2940,9
201004,"스포츠,이온음료",17,1080,1447,15,130412,5973,8
201005,"스포츠,이온음료",17,2537,1447,23,143681,8656,12
201006,"스포츠,이온음료",17,2050,1447,28,145035,6325,8
201007,"스포츠,이온음료",17,2218,1462,29,148561,14930,9
201008,"스포츠,이온음료",16,2467,1459,31,153056,30531,9
201009,"스포츠,이온음료",16,2036,1459,27,147804,23150,11
201010,"스포츠,이온음료",16,1470,1459,20,155952,1337,10
201011,"스포츠,이온음료",16,1138,1459,13,154482,0,8
201012,"스포츠,이온음료",16,877,1459,5,161292,886,8
201101,"스포츠,이온음료",16,729,1459,-1,163610,82,10
201102,"스포츠,이온음료",16,939,1478,7,149737,5587,11
201103,"스포츠,이온음료",16,1241,1534,10,169838,919,9
201104,"스포츠,이온음료",16,1457,1534,17,167577,8244,9
201105,"스포츠,이온음료",16,2285,1534,23,176452,7345,10
201106,"스포츠,이온음료",16,2015,1550,27,173664,25001,9
201107,"스포츠,이온음료",18,2253,1528,29,182676,43058,10
201108,"스포츠,이온음료",18,2930,1528,29,186850,20554,9
201109,"스포츠,이온음료",18,2264,1528,26,184270,5373,10
201110,"스포츠,이온음료",17,1610,1576,20,194286,4146,11
201111,"스포츠,이온음료",17,1216,1576,16,191703,10027,8
201112,"스포츠,이온음료",17,934,1576,5,201541,489,9
201201,"스포츠,이온음료",17,1013,1576,3,203133,362,11
201202,"스포츠,이온음료",17,929,1576,5,186880,377,8
201203,"스포츠,이온음료",19,1171,1553,11,212945,6556,10
201204,"스포츠,이온음료",19,2306,1553,18,209151,17042,9
201205,"스포츠,이온음료",18,3671,1544,24,215673,2095,10
201206,"스포츠,이온음료",20,2838,1530,28,215525,8865,10
201207,"스포츠,이온음료",20,3016,1530,29,203590,25076,9
201208,"스포츠,이온음료",20,3241,1530,30,228142,32385,9
201209,"스포츠,이온음료",20,2598,1560,25,223581,23569,10
201210,"스포츠,이온음료",19,2252,1600,21,233331,11111,10
201211,"스포츠,이온음료",19,1069,1600,11,229144,4805,8
201212,"스포츠,이온음료",18,882,1603,2,239129,3706,11
201301,"스포츠,이온음료",18,1199,1625,2,240416,2528,9
201302,"스포츠,이온음료",18,955,1625,5,217015,6667,9
201303,"스포츠,이온음료",17,1895,1668,12,243648,4364,11
201304,"스포츠,이온음료",18,1797,1631,15,237340,6727,8
201305,"스포츠,이온음료",20,2705,1613,23,245068,17217,10
201306,"스포츠,이온음료",21,3282,1626,28,236180,7360,11
201307,"스포츠,이온음료",22,2972,1661,29,241687,41344,8
201308,"스포츠,이온음료",23,4194,1657,31,240142,22284,10
201309,"스포츠,이온음료",24,2476,1685,26,231662,13699,12
201310,"스포츠,이온음료",23,1947,1693,21,239981,3011,10
201311,"스포츠,이온음료",23,1233,1693,12,232854,2944,9
201312,"스포츠,이온음료",23,1182,1693,5,240458,202,10
